escenario,clasificador,n_muestra,n_total,replica,riesgo_verdadero,riesgo_cv_mean,riesgo_cv_std,brecha_bayes
Balanceado_MismaCov,GNB,50,100,18,,0.22000000000000003,0.08717797887081347,-0.024699999999999972
Balanceado_MismaCov,LDA,50,100,18,,0.22999999999999998,0.08124038404635961,-0.014700000000000019
Balanceado_MismaCov,QDA,50,100,18,,0.22000000000000003,0.08717797887081347,-0.024699999999999972
Balanceado_MismaCov,KNN-1,50,100,18,,0.31,0.037416573867739396,0.0653
Balanceado_MismaCov,KNN-5,50,100,18,,0.25,0.08366600265340755,0.005299999999999999
Balanceado_MismaCov,KNN-21,50,100,18,,0.22000000000000003,0.07483314773547882,-0.024699999999999972
Balanceado_MismaCov,GB,50,100,18,,0.22000000000000003,0.0678232998312527,-0.024699999999999972
Balanceado_MismaCov,Bayes,50,100,19,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,19,,0.25000000000000006,0.13038404810405296,0.005300000000000055
Balanceado_MismaCov,LDA,50,100,19,,0.24000000000000005,0.10198039027185568,-0.004699999999999954
Balanceado_MismaCov,QDA,50,100,19,,0.26,0.13564659966250533,0.015300000000000008
Balanceado_MismaCov,KNN-1,50,100,19,,0.38,0.14352700094407322,0.1353
Balanceado_MismaCov,KNN-5,50,100,19,,0.27,0.10295630140987001,0.025300000000000017
Balanceado_MismaCov,KNN-21,50,100,19,,0.22999999999999998,0.09273618495495704,-0.014700000000000019
Balanceado_MismaCov,GB,50,100,19,,0.22000000000000003,0.09273618495495704,-0.024699999999999972
Balanceado_MismaCov,Bayes,100,200,0,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,0,,0.24500000000000002,0.036742346141747706,0.00030000000000002247
Balanceado_MismaCov,LDA,100,200,0,,0.24500000000000002,0.036742346141747706,0.00030000000000002247
Balanceado_MismaCov,QDA,100,200,0,,0.25,0.03535533905932741,0.005299999999999999
Balanceado_MismaCov,KNN-1,100,200,0,,0.32,0.08573214099741122,0.0753
Balanceado_MismaCov,KNN-5,100,200,0,,0.27,0.043011626335213146,0.025300000000000017
Balanceado_MismaCov,KNN-21,100,200,0,,0.255,0.050990195135927854,0.010300000000000004
Balanceado_MismaCov,GB,100,200,0,,0.25999999999999995,0.025495097567963945,0.015299999999999953
Balanceado_MismaCov,Bayes,100,200,1,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,1,,0.24500000000000002,0.06595452979136461,0.00030000000000002247
Balanceado_MismaCov,LDA,100,200,1,,0.24500000000000002,0.06595452979136461,0.00030000000000002247
Balanceado_MismaCov,QDA,100,200,1,,0.24500000000000002,0.06964194138592059,0.00030000000000002247
Balanceado_MismaCov,KNN-1,100,200,1,,0.325,0.08944271909999157,0.08030000000000001
Balanceado_MismaCov,KNN-5,100,200,1,,0.275,0.07245688373094719,0.03030000000000002
Balanceado_MismaCov,KNN-21,100,200,1,,0.255,0.0678232998312527,0.010300000000000004
Balanceado_MismaCov,GB,100,200,1,,0.24500000000000002,0.06595452979136461,0.00030000000000002247
Balanceado_MismaCov,Bayes,100,200,2,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,2,,0.255,0.06964194138592059,0.010300000000000004
Balanceado_MismaCov,LDA,100,200,2,,0.24500000000000002,0.06782329983125268,0.00030000000000002247
Balanceado_MismaCov,QDA,100,200,2,,0.265,0.066332495807108,0.020300000000000012
Balanceado_MismaCov,KNN-1,100,200,2,,0.38,0.05787918451395111,0.1353
Balanceado_MismaCov,KNN-5,100,200,2,,0.325,0.04183300132670378,0.08030000000000001
Balanceado_MismaCov,KNN-21,100,200,2,,0.26,0.07516648189186453,0.015300000000000008
Balanceado_MismaCov,GB,100,200,2,,0.25,0.09082951062292476,0.005299999999999999
